,project_name,project_url,snky_url,project_test_frequency,project_total_dependency,project_last_tested,project_issue_count,project_monitored
42,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/890d7894-6c74-4a86-96f2-a929b9cc6a9a,daily,0,2023-01-20T10:36:00.454Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
43,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/f85bacdb-5b2f-4839-b191-df8fed33dea9,daily,0,2023-01-20T10:35:59.779Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
44,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/8cf8e4ac-47a6-4d6d-b722-2c74d83c5822,daily,0,2023-01-20T09:55:14.122Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
45,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/9da603af-c73f-4695-b3f9-5fc1cc24b3b8,daily,1,2023-01-20T09:50:37.525Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
46,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/6687100a-a0a8-41f0-be93-c3ca0798efb1,daily,1,2023-01-20T09:50:09.710Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
47,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/93c00fc7-2232-4f84-925e-a415aa831fd7,daily,0,2023-01-20T09:37:53.905Z,"IssueCounts(low=0, medium=0, high=0, critical=0)",True
48,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/c6b7b1ce-6c30-4e17-ab28-312e5d971a44,daily,128,2023-01-20T09:35:00.644Z,"IssueCounts(low=9, medium=35, high=62, critical=2)",True
49,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/882f8309-d8ff-4cfc-9bcd-c1cee87f5969,daily,53,2023-01-20T09:20:00.592Z,"IssueCounts(low=0, medium=0, high=2, critical=0)",True
50,bedrock-1rn,http://bitbucket.org/ninjafactory/bedrock-wb-base,https://app.snyk.io/org/bedrock-1rn/project/66d932ab-8ac7-46bf-a917-bc0d4f83ca76,daily,53,2023-01-20T09:05:02.026Z,"IssueCounts(low=0, medium=0, high=2, critical=0)",True
51,bedrock-1rn,,https://app.snyk.io/org/bedrock-1rn/project/9ddd6046-c952-4e38-9d7a-9120084beea6,daily,137,2023-01-20T08:59:01.807Z,"IssueCounts(low=6, medium=41, high=60, critical=2)",True
